3/4_sprint,3p%,3pa_rate,3pm-3pa,ast,ast/to,ast/usg,birth_date,blk,bpm,dbpm,draft_age,draft_position,draft_year,drtg,dws/40,effective_fg%,fg%,fgm-fga,ft%,fta_rate,ftm-fta,g,height,high_school,home_town,lane_agility,max_vertical,mp,name,nation,obpm,ortg,ows/40,per,pf,position,pre-draft_team,proj_nba_3p%,pts,reb,school_year,shuttle,standing_reach,stl,title,to,true_shooting_%,url,usg%,weight,wingspan,ws/40
3.17,.342,.435,1.8-5.4,2.9,1.08,,"Oct 23, 1982",0.4,,,21.64 yrs,54th,2004,,,.471,.397,4.9-12.4,.787,.388,3.8-4.8,30,"6'4"" (6'9.5"" wingspan)",Renaissance High School,"Detroit, MI",11.14,"36.0""",36.0,Rickey Paulding,USA,,,,,2.0,SG,Missouri,.361,15.5,4.4,Senior,,"8'5.5""",1.1,Rickey Paulding 2004 Draft Profile | Tankathon,2.7,.527,https://tankathon.com/players/rickey-paulding,,210 lbs,"6'9.5""",
,,,,,,,"Dec 3, 1985",,,,18.53 yrs,12th,2004,,,,,,,,,,"7'0""",Bakersfield High School,"Bakersfield, CA",,,,Robert Swift,USA,,,,,,C,,,,,HS Senior,,,,Robert Swift 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/robert-swift,,245 lbs,,
3.21,,,,,,,"Sep 9, 1985",,,,18.76 yrs,18th,2004,,,,,,,,,,"6'6.75"" (6'10"" wingspan)",St. Benedict's Prep,"Clarksburg, NJ",10.93,"35.5""",,J.R. Smith,USA,,,,,,SG,,,,,HS Senior,,"8'8""",,J.R. Smith 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/j-r-smith,,227 lbs,"6'10""",
,.268,.539,1.1-4.1,2.4,1.26,,"Aug 3, 1982",2.0,,,21.87 yrs,22nd,2004,,,.533,.461,3.5-7.7,.743,.461,2.6-3.5,20,"6'9""",,"Kyiv, Ukraine",,,36.0,Viktor Khryapa,Russia,,,,,4.6,SF,,.341,10.8,6.8,International,,,1.8,Viktor Khryapa 2004 Draft Profile | Tankathon,1.9,.578,https://tankathon.com/players/viktor-khryapa,,210 lbs,,
,,,,,,,"Jun 9, 1985",,,,19.02 yrs,13th,2004,,,,,,,,,,"6'0""",Lincoln High School,"Brooklyn, NY",,,,Sebastian Telfair,USA,,,,,,PG,,,,,HS Senior,,,,Sebastian Telfair 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/sebastian-telfair,,165 lbs,,
,.000,.154,0.0-1.4,2.8,4.00,,"Apr 1, 1986",0.0,,,18.21 yrs,42nd,2004,,,.538,.538,4.8-9.0,.750,.308,2.1-2.8,9,"6'8""",,"Tbilisi, Georgia",,,36.0,Viktor Sanikidze,Georgia,,,,,4.2,SF,,,11.8,11.1,International,,,0.0,Viktor Sanikidze 2004 Draft Profile | Tankathon,0.7,.570,https://tankathon.com/players/viktor-sanikidze,,196 lbs,,
,,,,,,,"Apr 2, 1986",,,,18.20 yrs,11th,2004,,,,,,,,,,"7'0""",,"Riga, Latvia",,,,Andris Biedrins,Latvia,,,,,,C,,,,,International,,,,Andris Biedrins 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/andris-biedrins,,225 lbs,,
,.409,.544,2.8-6.9,3.3,1.14,0.80,"Nov 10, 1980",0.0,,,23.59 yrs,33rd,2004,,.053,.561,.449,5.7-12.6,.709,.326,2.9-4.1,37,"6'0""",Albany High School,"Schenectady, NY",,,36.0,Lionel Chalmers,USA,,,.118,,2.2,PG,Xavier,.368,17.1,3.4,Senior,,,1.1,Lionel Chalmers 2004 Draft Profile | Tankathon,2.9,.586,https://tankathon.com/players/lionel-chalmers,25.0,180 lbs,,.173
,.387,.125,0.4-1.1,5.2,2.76,1.46,"Dec 20, 1981",0.3,,,22.48 yrs,37th,2004,,.102,.472,.448,4.1-9.1,.626,.496,2.8-4.5,33,"6'3""",Blair Academy,"New York, NY",,,36.0,Royal Ivey,USA,,,.037,,3.1,PG,Texas,.318,11.4,4.9,Senior,,,1.5,Royal Ivey 2004 Draft Profile | Tankathon,1.9,.507,https://tankathon.com/players/royal-ivey,17.5,200 lbs,,.135
,.296,.524,1.7-5.6,1.3,0.72,,"Apr 15, 1983",0.9,,,21.17 yrs,23rd,2004,,,.505,.427,4.6-10.7,.741,.262,2.1-2.8,21,"6'8""",,"Saratov, Russia",,,36.0,Sergei Monia,Russia,,,,,5.4,SF,,.351,12.9,6.5,International,,,1.2,Sergei Monia 2004 Draft Profile | Tankathon,1.9,.535,https://tankathon.com/players/sergei-monia,,220 lbs,,
3.29,,,,,,,"Jan 4, 1985",,,,19.44 yrs,15th,2004,,,,,,,,,,"6'9.75"" (7'2.5"" wingspan)",Prentiss High School,"Prentiss, MS",13.08,"30.0""",,Al Jefferson,USA,,,,,,PF/C,,,,,HS Senior,,"9'2""",,Al Jefferson 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/al-jefferson,,263 lbs,"7'2.5""",
3.19,.433,.436,2.8-6.4,4.7,1.63,0.91,"Apr 4, 1983",0.2,,,21.20 yrs,3rd,2004,,.092,.528,.434,6.4-14.7,.829,.309,3.8-4.5,39,"6'2.25"" (6'8.5"" wingspan)",Mount Vernon High School,"Mount Vernon, NY",11.28,"37.5""",36.0,Ben Gordon,USA,,,.116,,2.4,SG,UConn,.385,19.3,4.9,Junior,,"8'3""",1.4,Ben Gordon 2004 Draft Profile | Tankathon,2.9,.572,https://tankathon.com/players/ben-gordon,25.8,192 lbs,"6'8.5""",.208
3.14,,,,,,,"Dec 8, 1985",,,,18.52 yrs,1st,2004,,,,,,,,,,"6'10.25"" (7'4.5"" wingspan)",Southwest Atlanta Christian Academy,"Atlanta, GA",11.21,"35.5""",,Dwight Howard,USA,,,,,,C,,,,,HS Senior,,"9'3.5""",,Dwight Howard 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/dwight-howard,,240 lbs,"7'4.5""",
3.24,,,,,,,"Dec 5, 1985",,,,18.53 yrs,17th,2004,,,,,,,,,,"6'8.25"" (7'0"" wingspan)",Oak Hill Academy,"College Park, GA",11.43,"39.5""",,Josh Smith,USA,,,,,,SF,,,,,HS Senior,,"8'10.5""",,Josh Smith 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/josh-smith,,221 lbs,"7'0""",
,.405,.266,1.2-3.0,3.0,0.86,,"Jul 5, 1982",0.0,,,21.95 yrs,28th,2004,,,.579,.525,5.8-11.1,.929,.201,2.1-2.2,18,"6'3.75"" (6'4.5"" wingspan)",,"Celje, Slovenia",,,36.0,Beno Udrih,Slovenia,,,,,4.2,PG,,.372,15.0,2.6,International,,"8'2""",2.2,Beno Udrih 2004 Draft Profile | Tankathon,3.4,.614,https://tankathon.com/players/beno-udrih,,199 lbs,"6'4.5""",
,,,,,,,"Nov 27, 1983",,,,20.55 yrs,34th,2004,,,,,,,,,,"6'7""",Oldham County High School,"Buckner, KY",,,,Donta Smith,USA,,,,,,SF,,,,,Sophomore,,,,Donta Smith 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/donta-smith,,230 lbs,,
,.478,.511,2.1-4.3,2.6,2.00,,"Dec 8, 1982",0.0,,,21.52 yrs,51st,2004,,,.544,.422,3.6-8.4,.692,.289,1.7-2.4,12,"6'9""",,"Copenhagen, Denmark",,,36.0,Christian Drejer,Denmark,,,,,5.1,SF,,,10.9,6.0,International,,,1.1,Christian Drejer 2004 Draft Profile | Tankathon,1.3,.567,https://tankathon.com/players/christian-drejer,,230 lbs,,
3.13,.348,.320,1.8-5.2,3.9,0.98,,"Jun 5, 1983",0.7,,,21.03 yrs,16th,2004,,,.487,.431,7.0-16.2,.731,.468,5.5-7.6,34,"6'6.75"" (6'9"" wingspan)",Upland High School,"Upland, CA",10.79,"35.0""",36.0,Kirk Snyder,USA,,,,,2.4,SG,Nevada,.353,21.3,6.5,Junior,,"8'8""",1.2,Kirk Snyder 2004 Draft Profile | Tankathon,4.0,.538,https://tankathon.com/players/kirk-snyder,,228 lbs,"6'9""",
,.244,.174,0.4-1.7,1.5,0.64,,"Sep 28, 1982",1.2,,,21.71 yrs,30th,2004,,,.529,.508,5.1-10.0,.595,.450,2.7-4.5,45,"6'10""",,"Colatina, Brazil",,,36.0,Anderson Varejão,Brazil,,,,,4.8,PF,,.307,13.2,8.1,International,,,2.0,Anderson Varejão 2004 Draft Profile | Tankathon,2.3,.546,https://tankathon.com/players/anderson-varejao,,230 lbs,,
,.356,.091,0.5-1.3,1.8,0.89,0.40,"Aug 27, 1982",0.3,,,21.80 yrs,35th,2004,,.073,.543,.526,7.4-14.1,.730,.457,4.7-6.5,34,"6'4.5"" (6'9"" wingspan)",Dallas Carter,"Dallas, TX",,,36.0,Andre Emmett,USA,,,.127,,1.4,SG/SF,Texas Tech,.331,20.0,6.4,Senior,,"8'4""",1.3,Andre Emmett 2004 Draft Profile | Tankathon,2.0,.583,https://tankathon.com/players/andre-emmett,26.5,216 lbs,"6'9""",.200
3.27,.333,.074,0.3-1.0,1.0,0.29,,"Nov 22, 1981",0.6,,,22.56 yrs,47th,2004,,,.506,.494,6.4-12.9,.675,.713,6.2-9.2,28,"6'10"" (7'2"" wingspan)",,"Dakar, Senegal",12.13,"31.5""",36.0,Pape Sow,Senegal,,,,,4.0,PF,CSU Fullerton,.320,19.3,10.9,Senior,,"9'0.5""",1.8,Pape Sow 2004 Draft Profile | Tankathon,3.4,.558,https://tankathon.com/players/pape-sow,,233 lbs,"7'2""",
,,,,,,,"Dec 2, 1985",,,,18.53 yrs,19th,2004,,,,,,,,,,"6'7""",South Kent School,"Los Angeles, CA",,,,Dorell Wright,USA,,,,,,SF,,,,,HS Senior,,,,Dorell Wright 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/dorell-wright,,210 lbs,,
3.15,,.000,0.0-0.0,1.1,0.43,0.24,"Sep 28, 1982",4.5,,,21.71 yrs,2nd,2004,,.213,.599,.599,8.1-13.5,.518,.500,3.5-6.7,36,"6'10"" (7'4"" wingspan)",Bellaire High School,"Bartlesville, OK",12.32,"34.0""",36.0,Emeka Okafor,USA,,,.127,,2.6,C,UConn,.292,19.6,12.8,Junior,,"9'2.5""",1.1,Emeka Okafor 2004 Draft Profile | Tankathon,2.6,.588,https://tankathon.com/players/emeka-okafor,25.1,257 lbs,"7'4""",.340
,,,,,,,"Apr 15, 1982",,,,22.17 yrs,57th,2004,,,,,,,,,,"7'1""",,"Guliston, Uzbekistan",,,,Sergei Karaulov,Russia,,,,,,C,,,,,International,,,,Sergei Karaulov 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/sergei-karaulov,,232 lbs,,
,.407,.634,4.0-9.9,2.5,0.87,,"Apr 18, 1981",0.4,,,23.16 yrs,44th,2004,,,.563,.434,6.8-15.6,.759,.195,2.3-3.0,33,"6'4.25"" (6'7.5"" wingspan)",Mainland High School,"Daytona Beach, FL",,,36.0,Tim Pickett,USA,,,,,3.0,SG,Florida State,.394,19.8,5.4,Senior,,"8'4.5""",3.0,Tim Pickett 2004 Draft Profile | Tankathon,2.9,.583,https://tankathon.com/players/tim-pickett,,207 lbs,"6'7.5""",
3.38,.395,.339,1.8-4.5,3.2,1.20,0.72,"Jun 20, 1983",1.9,,,20.99 yrs,6th,2004,,.158,.555,.488,6.5-13.3,.821,.374,4.1-5.0,23,"6'7.25"" (6'11"" wingspan)",Mayfair High School,"Compton, CA",11.95,"36.0""",36.0,Josh Childress,USA,,,.146,,2.8,SG/SF,Stanford,.367,18.9,9.1,Junior,,"8'9""",1.1,Josh Childress 2004 Draft Profile | Tankathon,2.7,.602,https://tankathon.com/players/josh-childress,25.8,196 lbs,"6'11""",.298
,.308,.103,0.3-1.0,1.0,0.27,,"May 14, 1982",1.3,,,22.09 yrs,39th,2004,,,.595,.579,5.9-10.2,.685,.730,5.1-7.4,31,"6'10""",,"Badalona, Spain",,,36.0,Albert Miralles,Spain,,,,,6.8,PF,,.321,17.2,12.1,International,,,2.7,Albert Miralles 2004 Draft Profile | Tankathon,3.6,.628,https://tankathon.com/players/albert-miralles,,240 lbs,,
,.326,.538,2.3-7.1,2.9,0.96,,"Mar 8, 1984",0.2,,,20.27 yrs,27th,2004,,,.502,.414,5.4-13.1,.827,.523,5.7-6.9,32,"6'7""",,"Maribor, Slovenia",,,36.0,Sasha Vujačić,Slovenia,,,,,3.7,SG,,.374,18.8,4.9,International,,,2.9,Sasha Vujačić 2004 Draft Profile | Tankathon,3.0,.575,https://tankathon.com/players/sasha-vujacic,,205 lbs,,
3.17,.250,.196,0.6-2.2,4.3,1.40,,"Dec 26, 1980",0.3,,,23.47 yrs,45th,2004,,,.457,.432,4.9-11.4,.770,.352,3.1-4.0,34,"6'6.5"" (6'10"" wingspan)",Dunbar High School,"Washington, DC",10.91,"34.5""",36.0,Bernard Robinson,USA,,,,,2.8,SF,Michigan,.333,13.5,6.4,Senior,,"8'6""",2.1,Bernard Robinson 2004 Draft Profile | Tankathon,3.1,.507,https://tankathon.com/players/bernard-robinson,,208 lbs,"6'10""",
3.24,.440,.386,2.5-5.6,4.7,1.49,,"Nov 6, 1981",0.2,,,22.61 yrs,10th,2004,,,.573,.488,7.1-14.4,.862,.440,5.5-6.3,31,"6'7"" (6'8.5"" wingspan)",Cresswell High School,"Cresswell, OR",11.1,"36.0""",36.0,Luke Jackson,USA,,,,,1.8,SF,Oregon,.384,22.0,7.5,Senior,,"8'7""",1.3,Luke Jackson 2004 Draft Profile | Tankathon,3.1,.631,https://tankathon.com/players/luke-jackson,,212 lbs,"6'8.5""",
,,,,,,,"Aug 18, 1981",,,,22.82 yrs,41st,2004,,,,,,,,,,"6'5""",New Castle High School,"New Castle, PA",,,,David Young,USA,,,,,,SG,North Carolina Central,,,,Senior,,,,David Young 2004 Draft Profile | Tankathon,,,https://tankathon.com/players/david-young,,205 lbs,,
,.000,.028,0.0-0.2,0.4,0.11,,"Jan 15, 1985",1.8,,,19.41 yrs,21st,2004,,,.493,.493,3.1-6.4,.677,.915,4.0-5.8,36,"7'5""",,"Novosibirsk, Russia",,,36.0,Pavel Podkolzin,Russia,,,,,6.6,C,,.314,10.2,9.0,International,,,1.6,Pavel Podkolzin 2004 Draft Profile | Tankathon,4.1,.560,https://tankathon.com/players/pavel-podkolzin,,260 lbs,,
3.25,.143,.021,0.0-0.3,2.7,0.74,0.63,"Jun 6, 1981",0.8,,,23.02 yrs,31st,2004,,.081,.565,.564,6.8-12.1,.507,.430,2.6-5.2,32,"6'10.75"" (7'0"" wingspan)",Viewmont High School,"Bountiful, UT",10.75,"33.5""",36.0,Jackson Vroman,USA,,,.085,,4.1,PF/C,Iowa State,.291,16.3,11.2,Senior,,"8'9.5""",1.7,Jackson Vroman 2004 Draft Profile | Tankathon,3.7,.560,https://tankathon.com/players/jackson-vroman,24.1,226 lbs,"7'0""",.167
