3/4_sprint,3p%,3pa_rate,3pm-3pa,ast,ast/to,ast/usg,birth_date,blk,bpm,dbpm,draft_age,draft_position,draft_year,drtg,dws/40,effective_fg%,fg%,fgm-fga,ft%,fta_rate,ftm-fta,g,height,high_school,home_town,lane_agility,max_vertical,mp,name,nation,obpm,ortg,ows/40,per,pf,position,pre-draft_team,proj_nba_3p%,pts,reb,school_year,shuttle,standing_reach,stl,title,to,true_shooting_%,url,usg%,weight,wingspan,ws/40
,.338,.223,0.7-2.2,1.2,1.00,0.38,"Dec 19, 1991",2.0,5.3,2.5,22.49 yrs,29th,2014,100.7,.066,.488,.451,4.4-9.8,.627,.295,1.8-2.9,36,"6'7""",,"Webster, TX",,,36.0,Josh Huestis,,2.8,110.2,.060,17.3,2.2,SF/PF,Stanford,.321,11.4,8.4,Senior,,,0.6,Josh Huestis 2014 Draft Profile | Tankathon,1.2,.510,https://tankathon.com/players/josh-huestis,18.0,230 lbs,,.126
3.26,,.000,0.0-0.0,2.3,0.97,0.56,"Jan 7, 1994",1.0,9.5,2.4,20.44 yrs,35th,2014,95.4,.087,.531,.531,6.0-11.3,.696,.613,4.8-6.9,37,"6'8.5"" (7'1.25"" wingspan)",,"Memphis, TN",11.92,"36.0""",36.0,Jarnell Stokes,,7.1,121.9,.140,27.6,2.2,PF,Tennessee,.317,16.8,11.8,Junior,3.2,"8'7.5""",0.8,Jarnell Stokes 2014 Draft Profile | Tankathon,2.3,.576,https://tankathon.com/players/jarnell-stokes,24.6,263 lbs,"7'1.25""",.227
3.28,.349,.342,1.9-5.4,4.3,2.07,0.83,"Sep 21, 1992",0.3,9.0,3.0,21.74 yrs,56th,2014,100.8,.064,.479,.420,6.6-15.8,.714,.456,5.1-7.2,33,"6'6.5"" (6'9"" wingspan)",Southfield-Lathrup High School,"Southfield, MI",11.32,"35.0""",36.0,Devyn Marble,USA,6.0,116.2,.121,22.6,2.3,SG/SF,Iowa,.352,20.3,3.8,Senior,3.08,"8'6""",2.2,Devyn Marble 2014 Draft Profile | Tankathon,2.1,.528,https://tankathon.com/players/devyn-marble,28.4,192 lbs,"6'9""",.185
3.45,.333,.007,0.0-0.1,1.9,0.51,0.40,"Jun 1, 1993",1.1,1.3,0.2,21.04 yrs,36th,2014,102.7,.059,.495,.494,7.1-14.4,.634,.455,4.2-6.6,34,"6'8.5"" (7'2.25"" wingspan)",,"Cleveland, MS",11.57,"35.5""",36.0,Johnny O'Bryant,,1.1,101.1,.047,18.7,3.8,PF,LSU,.309,18.5,9.2,Junior,3.32,"8'9""",0.6,Johnny O'Bryant 2014 Draft Profile | Tankathon,3.8,.526,https://tankathon.com/players/johnny-o-bryant,28.5,257 lbs,"7'2.25""",.106
,.000,.036,0.0-0.4,2.2,0.92,0.56,"Jun 6, 1992",1.1,8.6,4.9,22.03 yrs,21st,2014,91.3,.101,.545,.545,5.5-10.0,.667,.436,2.9-4.4,8,"6'10""",,"Chesterton, IN",,,36.0,Mitch McGary,,3.7,116.3,.101,26.2,4.5,PF,Michigan,.313,13.8,12.0,Sophomore,,,2.7,Mitch McGary 2014 Draft Profile | Tankathon,2.4,.572,https://tankathon.com/players/mitch-mcgary,22.5,255 lbs,,.202
3.27,.356,.118,0.5-1.4,2.3,1.36,0.56,"Sep 16, 1995",1.2,8.4,4.7,18.75 yrs,4th,2014,88.6,.111,.516,.495,5.7-11.6,.422,.471,2.3-5.5,38,"6'8.75"" (6'11.75"" wingspan)",,,10.81,"39.0""",36.0,Aaron Gordon,,3.7,108.9,.071,20.4,2.7,PF/SF,Arizona,.290,14.3,9.2,Freshman,2.76,"8'9""",1.0,Aaron Gordon 2014 Draft Profile | Tankathon,1.7,.503,https://tankathon.com/players/aaron-gordon,23.2,220 lbs,"6'11.75""",.182
,.000,.004,0.0-0.0,1.7,0.64,,"May 18, 1994",2.6,,,20.08 yrs,25th,2014,,,.679,.679,7.5-11.1,.553,.359,2.2-4.0,40,"6'10""",,"Geneva, Switzerland",,,36.0,Clint Capela,Switzerland,,,,,3.8,C,,.297,17.3,12.1,International,,,1.0,Clint Capela 2014 Draft Profile | Tankathon,2.6,.665,https://tankathon.com/players/clint-capela,,240 lbs,,
3.18,.379,.361,1.6-4.3,3.0,1.80,0.73,"Jan 29, 1992",1.0,8.9,2.7,22.38 yrs,44th,2014,100.4,.067,.541,.473,5.7-12.0,.768,.483,4.5-5.8,34,"6'3.5"" (6'8.75"" wingspan)",,"Alexandria, LA",12.62,"43.5""",36.0,Markel Brown,,6.3,121.7,.123,22.0,2.6,SG,Oklahoma State,.357,17.5,5.4,Senior,2.9,"8'4""",1.0,Markel Brown 2014 Draft Profile | Tankathon,1.6,.591,https://tankathon.com/players/markel-brown,23.1,184 lbs,"6'8.75""",.190
3.27,.167,.046,0.1-0.5,1.7,0.56,0.39,"Nov 29, 1994",0.9,7.5,2.1,19.55 yrs,7th,2014,97.8,.078,.505,.501,5.7-11.4,.706,.739,6.0-8.4,40,"6'9"" (7'0"" wingspan)",,,11.45,"35.5""",36.0,Julius Randle,,5.4,115.9,.114,24.5,2.7,PF,Kentucky,.311,17.5,12.1,Freshman,3.14,"8'9.5""",0.6,Julius Randle 2014 Draft Profile | Tankathon,2.9,.567,https://tankathon.com/players/julius-randle,25.4,250 lbs,"7'0""",.191
3.28,.281,.244,0.9-3.3,3.5,1.27,0.84,"Jul 7, 1992",0.2,4.3,0.5,21.95 yrs,46th,2014,108.2,.039,.482,.448,6.1-13.7,.831,.418,4.7-5.7,35,"6'5"" (6'8"" wingspan)",,"Tampa, FL",10.76,"38.5""",36.0,Jordan Clarkson,,3.8,112.7,.104,20.2,2.2,PG,Missouri,.350,17.9,3.9,Junior,2.98,"8'2""",1.1,Jordan Clarkson 2014 Draft Profile | Tankathon,2.7,.547,https://tankathon.com/players/jordan-clarkson,27.9,186 lbs,"6'8""",.143
,.274,.241,0.8-3.0,1.0,0.43,0.25,"Mar 24, 1996",4.2,9.3,6.0,19.23 yrs,11th,2015,86.3,.111,.488,.455,5.6-12.3,.839,.436,4.5-5.3,34,"6'11.5"" (7'4"" wingspan)",,,,,36.0,Myles Turner,,3.4,112.6,.101,25.5,3.9,PF/C,Texas,.348,16.5,10.6,Freshman,,"9'4""",0.5,Myles Turner 2015 Draft Profile | Tankathon,2.2,.556,https://tankathon.com/players/myles-turner,25.1,239 lbs,"7'4""",.212
,.303,.437,1.4-4.6,2.0,1.26,,"Apr 8, 1995",0.6,,,20.19 yrs,31st,2015,,,.464,.397,4.1-10.4,.667,.397,2.8-4.1,27,"6'8""",,"Ohrid, Macedonia",,,36.0,Cedi Osman,Turkey,,,,,4.4,SG/SF,,.336,12.4,6.8,International,,,1.3,Cedi Osman 2015 Draft Profile | Tankathon,1.6,.501,https://tankathon.com/players/cedi-osman,,215 lbs,,
,,.000,0.0-0.0,1.5,0.52,0.34,"Dec 15, 1995",1.7,10.4,2.7,19.50 yrs,3rd,2015,95.4,.077,.664,.664,8.8-13.2,.510,.462,3.1-6.1,38,"6'11""",,,,,36.0,Jahlil Okafor,,7.7,119.9,.157,30.7,2.6,C,Duke,.291,20.7,10.1,Freshman,,,0.9,Jahlil Okafor 2015 Draft Profile | Tankathon,3.0,.641,https://tankathon.com/players/jahlil-okafor,27.6,272 lbs,,.234
3.28,.411,.491,2.6-6.2,1.9,1.14,0.48,"Oct 30, 1996",0.1,9.4,3.3,18.63 yrs,13th,2015,92.2,.088,.571,.470,6.0-12.7,.828,.223,2.3-2.8,38,"6'5.75"" (6'8.25"" wingspan)",,,10.27,"34.5""",36.0,Devin Booker,,6.1,123.1,.132,19.4,2.6,SG,Kentucky,.380,16.8,3.4,Freshman,2.75,"8'6.5""",0.8,Devin Booker 2015 Draft Profile | Tankathon,1.6,.600,https://tankathon.com/players/devin-booker,22.8,206 lbs,"6'8.25""",.221
3.2,.423,.618,2.5-5.9,1.5,1.30,0.43,"Jan 6, 1993",1.0,7.6,1.5,22.44 yrs,41st,2015,101.0,.056,.597,.466,4.4-9.5,.781,.180,1.3-1.7,38,"6'5.25"" (6'8"" wingspan)",,,10.58,"44.0""",36.0,Pat Connaughton,,6.1,122.1,.104,19.4,2.0,SG,Notre Dame,.373,12.7,7.5,Senior,3.08,"8'0""",0.7,Pat Connaughton 2015 Draft Profile | Tankathon,1.2,.615,https://tankathon.com/players/pat-connaughton,17.7,215 lbs,"6'8""",.160
3.32,.358,.383,1.6-4.5,1.3,0.65,0.35,"Dec 9, 1995",0.6,8.8,4.1,19.52 yrs,15th,2015,92.6,.090,.512,.444,5.2-11.8,.718,.444,3.8-5.2,36,"6'6.75"" (7'2.25"" wingspan)",,,11.09,"37.0""",36.0,Kelly Oubre,,4.7,112.0,.090,21.1,3.4,SF,Kansas,.349,15.9,8.5,Freshman,3.12,"8'6.5""",2.0,Kelly Oubre 2015 Draft Profile | Tankathon,2.0,.555,https://tankathon.com/players/kelly-oubre,23.1,203 lbs,"7'2.25""",.180
,.414,.513,2.4-5.7,0.6,0.46,,"Apr 7, 1993",0.0,,,22.19 yrs,54th,2015,,,.586,.480,5.3-11.1,.721,.223,1.8-2.5,30,"6'8""",,"Madrid, Spain",,,36.0,Dani Díez,Spain,,,,,1.3,SF,,.363,14.8,8.3,International,,,1.3,Dani Díez 2015 Draft Profile | Tankathon,1.4,.603,https://tankathon.com/players/dani-diez,,212 lbs,,
3.18,.441,.439,2.2-4.9,2.6,1.31,0.70,"Oct 10, 1992",0.2,7.1,1.6,22.68 yrs,34th,2015,102.3,.052,.528,.431,4.8-11.1,.795,.358,3.2-4.0,37,"6'7.25"" (6'11"" wingspan)",,,10.94,"34.5""",36.0,Anthony Brown,,5.5,116.8,.109,19.5,2.1,SF,Stanford,.370,14.9,7.0,Senior,3.29,"8'8.5""",0.8,Anthony Brown 2015 Draft Profile | Tankathon,2.0,.573,https://tankathon.com/players/anthony-brown,21.7,211 lbs,"6'11""",.158
,1.000,.009,0.1-0.1,1.4,0.51,0.40,"Feb 5, 1995",2.6,5.2,5.3,20.36 yrs,29th,2015,88.6,.107,.482,.478,4.3-9.0,.563,.628,3.2-5.7,16,"6'9"" (7'3.25"" wingspan)",,,,,36.0,Chris McCullough,,-0.1,95.7,.027,18.9,3.3,PF,Syracuse,.300,11.9,8.8,Freshman,,"9'1""",2.2,Chris McCullough 2015 Draft Profile | Tankathon,2.8,.508,https://tankathon.com/players/chris-mccullough,20.7,199 lbs,"7'3.25""",.124
,.415,.165,0.7-1.7,1.6,1.13,0.46,"Feb 6, 1996",1.0,7.0,2.3,19.36 yrs,30th,2015,97.0,.072,.505,.470,4.9-10.4,.626,.458,3.0-4.8,36,"6'9.25"" (7'3.5"" wingspan)",,,,,36.0,Kevon Looney,,4.7,116.5,.101,21.9,3.4,PF,UCLA,.324,13.5,10.7,Freshman,,"9'2""",1.5,Kevon Looney 2015 Draft Profile | Tankathon,1.5,.532,https://tankathon.com/players/kevon-looney,19.7,222 lbs,"7'3.5""",.173
,.387,.528,2.8-7.3,2.6,1.76,0.63,"Apr 13, 1993",0.4,10.0,4.4,22.18 yrs,38th,2015,92.8,.087,.543,.440,6.1-13.8,.796,.267,2.9-3.7,35,"6'6""",,,,,36.0,Darrun Hilliard,,5.6,119.5,.131,23.1,2.8,SG,Villanova,.380,17.9,3.9,Senior,,,2.3,Darrun Hilliard 2015 Draft Profile | Tankathon,1.5,.576,https://tankathon.com/players/darrun-hilliard,25.2,220 lbs,,.218
,.356,.180,0.7-2.0,1.6,1.17,0.43,"Sep 10, 1992",0.5,12.2,3.6,22.77 yrs,49th,2015,94.2,.082,.553,.521,5.8-11.0,.819,.726,6.6-8.0,34,"6'8.75"" (6'11.5"" wingspan)",,,,,36.0,Aaron White,,8.6,133.9,.187,29.3,1.8,PF,Iowa,.347,18.8,8.3,Senior,,,1.5,Aaron White 2015 Draft Profile | Tankathon,1.4,.633,https://tankathon.com/players/aaron-white,23.5,220 lbs,,.269
,.306,.345,1.2-3.8,5.4,1.80,,"Apr 25, 1994",0.0,,,21.15 yrs,57th,2015,,,.466,.413,4.6-11.1,.646,.255,1.8-2.8,49,"6'4""",,"Čačak, Serbia",,,36.0,Nikola Radičević,Serbia,,,,,3.1,PG,,.330,12.2,3.9,International,,,1.4,Nikola Radičević 2015 Draft Profile | Tankathon,3.0,.489,https://tankathon.com/players/nikola-radicevic,,200 lbs,,
,,,,,,,"Dec 10, 1995",,,,19.52 yrs,52nd,2015,,,,,,,,,,"7'2""",IMG Academy,"Baloke, India",,,,Satnam Singh,India,,,,,,C,,,,,Freshman,,,,Satnam Singh 2015 Draft Profile | Tankathon,,,https://tankathon.com/players/satnam-singh,,290 lbs,,
3.34,.383,.352,1.3-3.4,5.0,2.17,1.21,"Oct 28, 1994",0.3,8.4,4.7,20.64 yrs,44th,2015,89.2,.101,.446,.378,3.7-9.7,.792,.596,4.6-5.8,39,"6'5.5"" (6'9"" wingspan)",,,11.2,"33.0""",36.0,Andrew Harrison,,3.7,115.2,.105,18.0,2.5,PG,Kentucky,.354,13.2,3.2,Sophomore,,"8'4""",1.4,Andrew Harrison 2015 Draft Profile | Tankathon,2.3,.531,https://tankathon.com/players/andrew-harrison,21.4,213 lbs,"6'9""",.205
,,.000,0.0-0.0,2.1,0.80,,"Dec 30, 1994",0.5,,,20.46 yrs,26th,2015,,,.442,.442,4.1-9.3,.773,.423,3.0-3.9,9,"7'0""",,"Novi Sad, Serbia",,,36.0,Nikola Milutinov,Serbia,,,,,5.5,C,,.327,11.2,9.6,International,,,0.7,Nikola Milutinov 2015 Draft Profile | Tankathon,2.7,.504,https://tankathon.com/players/nikola-milutinov,,250 lbs,,
3.28,.331,.372,1.5-4.4,1.4,1.36,0.37,"May 6, 1994",0.5,10.4,1.8,21.12 yrs,18th,2015,99.8,.061,.586,.525,6.2-11.8,.708,.278,2.3-3.3,40,"6'9"" (6'11.5"" wingspan)",,,10.64,"34.5""",36.0,Sam Dekker,,8.5,128.6,.165,25.5,1.2,SF,Wisconsin,.344,16.2,6.4,Junior,2.96,"8'10""",0.6,Sam Dekker 2015 Draft Profile | Tankathon,1.0,.605,https://tankathon.com/players/sam-dekker,23.2,219 lbs,"6'11.5""",.226
3.62,,.000,0.0-0.0,1.6,0.69,0.40,"Sep 22, 1995",2.0,8.2,5.1,19.73 yrs,48th,2015,82.6,.126,.506,.506,4.5-8.8,.625,.923,5.1-8.2,39,"6'11.75"" (7'2"" wingspan)",,,11.76,"25.0""",36.0,Dakari Johnson,,3.0,113.9,.101,22.3,3.9,C,Kentucky,.307,14.1,10.1,Sophomore,2.94,"9'4""",0.8,Dakari Johnson 2015 Draft Profile | Tankathon,2.4,.553,https://tankathon.com/players/dakari-johnson,22.0,265 lbs,"7'2""",.227
,.379,.598,2.5-6.6,2.8,1.05,,"Feb 25, 1995",0.3,,,20.31 yrs,5th,2015,,,.570,.457,5.1-11.1,.767,.117,1.0-1.3,54,"6'8""",,"Dubrovnik, Croatia",,,36.0,Mario Hezonja,Croatia,,,,,4.1,SG/SF,,.370,13.6,4.6,International,,,1.4,Mario Hezonja 2015 Draft Profile | Tankathon,2.7,.583,https://tankathon.com/players/mario-hezonja,,225 lbs,,
3.47,.000,.003,0.0-0.0,1.6,0.60,0.41,"Dec 1, 1991",2.6,8.1,3.8,23.54 yrs,36th,2015,92.5,.086,.552,.552,6.9-12.5,.712,.519,4.6-6.5,31,"6'9.75"" (7'5.25"" wingspan)",,,11.6,"32.0""",36.0,Rakeem Christmas,,4.3,113.6,.113,26.5,3.6,PF/C,Syracuse,.319,18.3,9.5,Senior,3.3,"9'2.5""",1.0,Rakeem Christmas 2015 Draft Profile | Tankathon,2.6,.591,https://tankathon.com/players/rakeem-christmas,25.8,243 lbs,"7'5.25""",.203
,.402,.538,3.0-7.6,2.8,1.23,0.61,"Feb 9, 1993",0.1,1.3,-3.5,22.35 yrs,45th,2015,109.7,.023,.564,.456,6.4-14.0,.830,.324,3.8-4.6,33,"6'2.75"" (6'7.75"" wingspan)",Bishop McNamara High School,"Upper Marlboro, MD",,,36.0,Marcus Thornton (W&M),,4.8,115.5,.132,21.8,1.1,PG/SG,William & Mary,.388,19.6,2.7,Senior,,,0.6,Marcus Thornton (W&M) 2015 Draft Profile | Tankathon,2.3,.605,https://tankathon.com/players/marcus-thornton-w-m,28.5,177 lbs,,.155
,.280,.421,1.4-5.0,1.3,1.73,,"Dec 20, 1994",1.6,,,20.49 yrs,59th,2015,,,.492,.433,5.1-11.8,.592,.275,1.9-3.3,38,"6'10""",,"Marousi, Greece",,,36.0,Dimitrios Agravanis,Greece,,,,,5.9,PF,,.326,13.5,7.8,International,,,1.3,Dimitrios Agravanis 2015 Draft Profile | Tankathon,0.7,.507,https://tankathon.com/players/dimitrios-agravanis,,235 lbs,,
,,,,,,,"Mar 22, 1996",,,,19.24 yrs,39th,2015,,,,,,,,,,"6'6""",,"Córdoba, Argentina",,,,Juan Pablo Vaulet,Argentina,,,,,,SF,,,,,International,,,,Juan Pablo Vaulet 2015 Draft Profile | Tankathon,,,https://tankathon.com/players/juan-pablo-vaulet,,200 lbs,,
3.32,.419,.147,0.7-1.7,1.0,0.43,0.28,"Oct 15, 1993",3.3,8.7,3.2,21.67 yrs,37th,2015,92.7,.090,.594,.563,6.7-11.8,.712,.522,4.4-6.2,31,"6'9.5"" (7'1.5"" wingspan)",,,11.24,"36.0""",36.0,Richaun Holmes,,5.5,119.6,.143,30.4,3.1,PF,Bowling Green,.336,18.4,10.0,Senior,3.31,"9'0""",0.9,Richaun Holmes 2015 Draft Profile | Tankathon,2.4,.625,https://tankathon.com/players/richaun-holmes,25.6,243 lbs,"7'1.5""",.229
3.29,.356,.225,0.8-2.3,5.5,2.62,1.45,"Apr 26, 1992",1.1,15.5,6.9,23.14 yrs,20th,2015,87.7,.106,.549,.509,5.1-10.0,.836,.565,4.7-5.7,35,"6'5.5"" (6'7.5"" wingspan)",,,11.16,"31.0""",36.0,Delon Wright,,8.7,129.8,.182,29.2,1.5,PG,Utah,.351,15.7,5.3,Senior,3.5,"8'5.5""",2.3,Delon Wright 2015 Draft Profile | Tankathon,2.1,.619,https://tankathon.com/players/delon-wright,22.8,181 lbs,"6'7.5""",.288
3.27,.269,.131,0.4-1.6,1.8,0.64,0.42,"May 24, 1994",0.7,4.7,1.6,21.07 yrs,25th,2015,94.2,.083,.526,.509,6.3-12.3,.690,.511,4.3-6.3,33,"6'9.25"" (6'9"" wingspan)",,,11.2,"35.0""",36.0,Jarell Martin,,3.0,109.8,.093,21.6,2.9,PF,LSU,.321,17.3,9.5,Sophomore,2.97,"8'10.5""",1.2,Jarell Martin 2015 Draft Profile | Tankathon,2.9,.565,https://tankathon.com/players/jarell-martin,24.8,239 lbs,"6'9""",.176
,.400,.059,0.2-0.6,0.6,0.33,,"Jun 19, 1993",2.1,,,21.99 yrs,47th,2015,,,.518,.506,5.0-10.0,.618,.800,4.9-8.0,20,"6'10""",,"Klaipėda, Lithuania",,,36.0,Arturas Gudaitis,Lithuania,,,,,4.8,C,,.310,15.2,9.4,International,,,0.4,Arturas Gudaitis 2015 Draft Profile | Tankathon,1.8,.554,https://tankathon.com/players/arturas-gudaitis,,250 lbs,,
,.167,.072,0.1-0.7,0.4,0.12,0.11,"Apr 22, 1992",2.4,2.4,0.8,23.15 yrs,55th,2015,98.7,.065,.558,.552,5.3-9.7,.636,.572,3.5-5.5,32,"6'10""",,,,,36.0,Cady Lalanne,,1.6,104.8,.060,20.8,3.4,PF/C,Massachusetts,.303,14.3,11.8,Senior,,,0.7,Cady Lalanne 2015 Draft Profile | Tankathon,3.1,.582,https://tankathon.com/players/cady-lalanne,21.3,253 lbs,,.125
,.200,.027,0.1-0.4,1.1,0.31,,"May 27, 1994",0.7,,,21.06 yrs,35th,2015,,,.535,.532,7.3-13.7,.720,.382,3.8-5.2,50,"6'11""",,"Madrid, Spain",,,36.0,Willy Hernangómez,Spain,,,,,4.0,C,,.321,18.4,10.4,International,,,1.7,Willy Hernangómez 2015 Draft Profile | Tankathon,3.5,.569,https://tankathon.com/players/willy-hernangomez,,240 lbs,,
3.12,.207,.105,0.2-1.0,1.9,1.00,0.49,"Jan 3, 1995",1.1,9.4,5.0,20.45 yrs,23rd,2015,87.8,.106,.513,.502,4.6-9.1,.707,.745,4.8-6.8,38,"6'7"" (7'2"" wingspan)",,,10.41,"38.0""",36.0,Rondae Hollis-Jefferson,,4.4,118.5,.114,21.8,3.1,SF,Arizona,.316,14.1,8.6,Sophomore,3.19,"8'8""",1.5,Rondae Hollis-Jefferson 2015 Draft Profile | Tankathon,1.9,.573,https://tankathon.com/players/rondae-hollis-jefferson,20.5,211 lbs,"7'2""",.217
,.359,.321,1.4-4.0,3.6,1.35,0.96,"Sep 15, 1993",0.5,8.3,2.7,21.75 yrs,40th,2015,103.1,.048,.519,.461,5.7-12.4,.798,.311,3.1-3.8,32,"6'6""",,,,,36.0,Josh Richardson,,5.5,112.9,.110,22.9,2.4,SG,Tennessee,.356,15.9,4.4,Senior,,,2.1,Josh Richardson 2015 Draft Profile | Tankathon,2.6,.560,https://tankathon.com/players/josh-richardson,25.5,200 lbs,,.158
,.416,.207,1.2-2.8,2.8,1.63,0.64,"Apr 4, 1993",1.6,16.2,5.0,22.20 yrs,9th,2015,92.6,.088,.590,.547,7.3-13.4,.780,.410,4.3-5.5,39,"7'0.75"" (6'11"" wingspan)",Benet Academy,"Lisle, IL",,,36.0,Frank Kaminsky,,11.2,129.6,.211,34.4,1.8,C,Wisconsin,.352,20.1,8.8,Senior,,"9'1.5""",0.9,Frank Kaminsky 2015 Draft Profile | Tankathon,1.7,.628,https://tankathon.com/players/frank-kaminsky,28.6,231 lbs,"6'11""",.299
3.25,.353,.371,1.9-5.5,4.0,1.59,0.97,"Feb 15, 1993",0.0,6.4,0.3,22.33 yrs,42nd,2015,106.3,.037,.519,.454,6.7-14.8,.759,.292,3.3-4.3,32,"6'4.25"" (6'6"" wingspan)",,,11.41,"34.0""",36.0,Olivier Hanlan,,6.1,109.3,.110,22.2,2.0,PG,Boston College,.359,18.7,4.0,Junior,3.12,"8'4""",1.2,Olivier Hanlan 2015 Draft Profile | Tankathon,2.5,.553,https://tankathon.com/players/olivier-hanlan,30.1,186 lbs,"6'6""",.146
3.21,.383,.430,2.6-6.8,1.7,0.72,0.38,"Aug 16, 1996",0.4,4.5,0.1,18.84 yrs,17th,2015,100.4,.059,.521,.439,7.0-15.9,.694,.299,3.3-4.8,23,"6'5"" (6'7"" wingspan)",,,11.4,"34.0""",36.0,Rashad Vaughn,,4.5,103.6,.075,20.2,2.6,SG,UNLV,.363,19.9,5.4,Freshman,3.1,"8'5""",0.9,Rashad Vaughn 2015 Draft Profile | Tankathon,2.4,.547,https://tankathon.com/players/rashad-vaughn,30.8,199 lbs,"6'7""",.135
,.357,.431,2.5-6.9,3.7,1.55,0.74,"Jun 27, 1992",0.0,6.7,0.3,22.97 yrs,43rd,2015,106.2,.036,.524,.448,7.2-16.1,.925,.226,3.4-3.6,36,"6'2"" (6'5"" wingspan)",,,,,36.0,Joe Young,,6.5,115.4,.133,23.2,1.4,PG,Oregon,.391,20.3,4.4,Senior,,,1.1,Joe Young 2015 Draft Profile | Tankathon,2.4,.568,https://tankathon.com/players/joe-young,28.7,182 lbs,,.169
3.56,.467,.064,0.5-1.0,1.4,0.75,0.33,"Feb 10, 1995",1.7,8.9,1.4,20.35 yrs,22nd,2015,96.9,.071,.552,.536,8.4-15.6,.737,.335,3.8-5.2,36,"6'10.5"" (7'2"" wingspan)",,,11.78,"31.5""",36.0,Bobby Portis,,7.6,122.0,.156,29.5,2.6,PF,Arkansas,.337,21.0,10.7,Sophomore,3.28,"9'0.5""",1.3,Bobby Portis 2015 Draft Profile | Tankathon,1.9,.582,https://tankathon.com/players/bobby-portis,26.7,246 lbs,"7'2""",.227
,.411,.449,2.9-7.0,5.3,1.72,1.00,"Feb 23, 1996",0.3,11.9,3.3,19.31 yrs,2nd,2015,94.5,.081,.541,.449,7.0-15.6,.756,.303,3.6-4.7,35,"6'5"" (6'9.75"" wingspan)",,,,,36.0,D'Angelo Russell,,8.6,115.7,.148,26.6,2.2,PG/SG,Ohio State,.376,20.5,6.0,Freshman,,"8'6""",1.7,D'Angelo Russell 2015 Draft Profile | Tankathon,3.1,.573,https://tankathon.com/players/d-angelo-russell,30.2,193 lbs,"6'9.75""",.229
3.44,.431,.606,3.9-9.0,2.5,1.28,0.51,"Jul 17, 1993",0.1,4.4,-2.5,21.92 yrs,51st,2015,112.2,.014,.600,.469,7.0-14.9,.852,.359,4.6-5.4,32,"6'4"" (6'5.5"" wingspan)",,,10.56,"28.5""",36.0,Tyler Harvey,,6.9,129.1,.193,26.9,1.8,PG/SG,Eastern Washington,.405,22.5,3.5,Junior,2.93,"8'2.5""",1.1,Tyler Harvey 2015 Draft Profile | Tankathon,1.9,.643,https://tankathon.com/players/tyler-harvey,27.5,181 lbs,"6'5.5""",.206
,,,,,,,"Mar 5, 1996",,,,19.28 yrs,7th,2015,,,,,,,,,,"6'5""",Prime Prep,"Arlington, TX",,,,Emmanuel Mudiay,DR Congo,,,,,,PG,,,,,International,,,,Emmanuel Mudiay 2015 Draft Profile | Tankathon,,,https://tankathon.com/players/emmanuel-mudiay,,200 lbs,,
3.27,.375,.118,0.4-1.0,5.3,1.92,1.34,"Sep 15, 1993",0.4,7.2,4.5,21.75 yrs,58th,2015,98.1,.069,.450,.428,3.8-8.8,.615,.432,2.3-3.8,38,"6'6.25"" (6'10"" wingspan)",,,10.97,"40.0""",36.0,J.P. Tokoto,,2.7,103.8,.051,15.9,3.0,SG,North Carolina,.315,10.3,6.9,Junior,3.2,"8'4.5""",1.8,J.P. Tokoto 2015 Draft Profile | Tankathon,2.8,.484,https://tankathon.com/players/j-p-tokoto,17.9,196 lbs,"6'10""",.119
,.359,.281,1.4-3.9,0.9,0.38,,"Aug 2, 1995",1.7,,,19.87 yrs,4th,2015,,,.547,.496,7.0-14.0,.752,.300,3.2-4.2,50,"7'3""",,"Liepāja, Latvia",,,36.0,Kristaps Porzingis,Latvia,,,,,4.4,PF,,.350,18.5,7.7,International,,,1.5,Kristaps Porzingis 2015 Draft Profile | Tankathon,2.4,.577,https://tankathon.com/players/kristaps-porzingis,,230 lbs,,
,.316,.370,1.3-4.0,6.5,3.09,1.39,"Oct 9, 1992",0.5,9.0,1.7,22.69 yrs,19th,2015,104.0,.045,.536,.478,5.2-10.9,.780,.511,4.3-5.6,38,"6'4.25"" (6'7.5"" wingspan)",,,,,36.0,Jerian Grant,,7.3,125.6,.173,25.5,1.9,PG,Notre Dame,.350,16.1,2.9,Senior,,"8'4""",1.6,Jerian Grant 2015 Draft Profile | Tankathon,2.1,.592,https://tankathon.com/players/jerian-grant,24.2,198 lbs,"6'7.5""",.219
,.138,.121,0.2-1.3,1.7,0.93,0.44,"Nov 5, 1995",0.7,8.0,4.1,19.61 yrs,12th,2015,86.3,.111,.496,.488,5.1-10.4,.735,.425,3.3-4.4,36,"6'10.25"" (7'1.5"" wingspan)",,,,,36.0,Trey Lyles,,3.9,115.9,.101,19.8,2.5,PF,Kentucky,.316,13.6,8.2,Freshman,,"9'0""",0.8,Trey Lyles 2015 Draft Profile | Tankathon,1.8,.543,https://tankathon.com/players/trey-lyles,20.8,241 lbs,"7'1.5""",.213
