name,draft_year,draft_position,draft_age,height,weight,wingspan,pts,reb,ast,stl,blk,pf,to,g,mp,max_vertical,lane_agility,shuttle,3/4_sprint,standing_reach,fg%,3p%,3pa_rate,fta_rate,ft%,effective_fg%,true_shooting_%,usg%,ast/usg,ast/to,per,ortg,drtg,obpm,dbpm,bpm,ows/40,dws/40,ws/40,proj_nba_3p%,Peak DARKO,fgm,fga,3pm,3pa,ftm,fta,team_Mid-Major,team_Other,team_Power_6,Freshman,Sophomore,Junior,Senior,Other
Cedric Coward,2025,11,21.77,78.5,213,86.25,19.3,7.6,4.0,0.9,1.8,2.9,2.4,6.0,36.0,38.5,10.97,3.02,3.06,106.0,0.557,0.4,0.492,0.508,0.839,0.656,0.7,22.1,0.94,1.69,26.0,135.2,108.9,7.0,2.2,9.3,0.162,0.04,0.202,0.375,,6.2,11.1,2.2,5.5,4.7,5.6,0,0,1,0,0,0,1,0
Noa Essengue,2025,12,18.5,81.0,194,,16.9,7.8,1.8,1.4,0.8,4.2,1.7,60.0,36.0,,,,,,0.521,0.276,0.329,0.751,0.707,0.566,0.613,19.4,0.44,1.08,18.4,125.9,107.3,,,,,,,0.332,,5.3,10.2,0.9,3.3,5.4,7.6,0,1,0,0,0,0,0,1
Derik Queen,2025,13,20.48,82.5,248,84.5,19.6,10.6,2.2,1.3,1.3,2.5,2.8,36.0,36.0,28.0,12.45,3.27,3.52,109.5,0.526,0.2,0.088,0.546,0.766,0.535,0.591,26.6,0.44,0.79,24.7,117.0,92.4,5.1,4.2,9.2,0.113,0.102,0.216,0.324,,6.9,13.1,0.2,1.2,5.5,7.2,0,0,1,1,0,0,0,0
Carter Bryant,2025,14,19.56,79.75,215,83.75,12.2,7.7,1.8,1.8,1.9,4.3,1.9,37.0,36.0,39.5,11.25,3.14,3.07,106.0,0.46,0.371,0.597,0.335,0.695,0.571,0.593,16.4,0.51,0.97,16.6,116.5,100.1,3.5,5.3,8.8,0.067,0.078,0.14,0.352,,4.1,8.9,2.0,5.3,2.1,3.0,0,0,1,1,0,0,0,0
Thomas Sorber,2025,15,19.48,82.5,263,90.0,16.7,9.7,2.8,1.7,2.3,2.5,2.6,24.0,36.0,,,,,109.0,0.532,0.162,0.148,0.42,0.724,0.544,0.58,23.6,0.66,1.07,24.7,114.7,96.7,4.1,4.4,8.5,0.09,0.09,0.181,0.318,,6.4,12.0,0.3,1.8,3.6,5.0,0,0,1,1,0,0,0,0
Hansen Yang,2025,16,19.98,86.25,253,86.75,17.6,11.0,3.1,1.0,3.0,3.4,3.4,53.0,36.0,30.0,11.79,3.01,3.38,111.0,0.595,0.286,0.099,0.446,0.677,0.609,0.627,21.4,0.65,0.91,20.2,115.0,103.9,,,,,,,0.318,,6.9,11.6,0.3,1.2,3.5,5.2,0,1,0,0,0,0,0,1
Joan Beringer,2025,17,18.61,82.0,230,,10.4,9.4,0.9,1.0,2.7,4.5,1.3,64.0,36.0,,,,,,0.644,0.0,0.005,0.516,0.566,0.644,0.634,12.3,0.34,0.7,16.2,125.6,103.4,,,,,,,0.299,,4.2,6.6,0.0,0.0,1.9,3.4,0,1,0,0,0,0,0,1
Walter Clayton Jr.,2025,18,22.29,75.25,199,76.0,20.2,4.1,4.6,1.3,0.6,2.1,2.7,39.0,36.0,37.0,10.52,2.81,3.14,97.5,0.448,0.386,0.578,0.275,0.875,0.56,0.602,25.6,0.91,1.73,21.6,124.4,102.4,7.8,3.4,11.2,0.138,0.066,0.205,0.398,,6.7,14.8,3.3,8.6,3.6,4.1,0,0,1,0,0,0,1,0
Nolan Traore,2025,19,19.06,75.0,175,,19.4,3.0,7.4,1.1,0.1,3.7,3.9,44.0,36.0,,,,,,0.41,0.314,0.38,0.323,0.711,0.47,0.507,30.4,1.41,1.91,15.4,105.7,114.5,,,,,,,0.353,,6.8,16.6,2.0,6.3,3.8,5.4,0,1,0,0,0,0,0,1
Kasparas Jakucionis,2025,20,19.06,78.0,205,79.75,16.9,6.4,5.3,1.0,0.3,3.0,4.2,33.0,36.0,35.0,10.99,2.82,3.22,99.5,0.44,0.318,0.501,0.496,0.845,0.519,0.59,24.2,1.07,1.27,17.4,112.1,105.2,4.0,2.6,6.6,0.084,0.057,0.141,0.369,,5.1,11.6,1.8,5.8,4.9,5.8,0,0,1,1,0,0,0,0
Will Riley,2025,21,19.36,81.5,186,80.75,17.7,5.8,3.1,0.4,0.4,1.7,1.7,35.0,36.0,32.0,11.73,3.08,3.21,104.0,0.432,0.326,0.401,0.323,0.724,0.497,0.532,23.8,0.68,1.86,17.4,118.0,108.2,4.8,1.7,6.5,0.102,0.044,0.147,0.353,,6.2,14.4,1.9,5.8,3.4,4.6,0,0,1,1,0,0,0,0
Drake Powell,2025,22,19.78,78.5,200,84.0,10.5,4.8,1.5,1.0,1.0,2.5,1.0,37.0,36.0,43.0,10.71,2.79,3.07,103.0,0.483,0.379,0.45,0.256,0.648,0.569,0.581,13.8,0.51,1.48,12.9,118.0,107.9,2.8,3.3,6.1,0.059,0.046,0.106,0.336,,3.9,8.0,1.4,3.6,1.3,2.1,0,0,1,1,0,0,0,0
Asa Newell,2025,23,19.71,82.25,224,83.25,19.1,8.5,1.1,1.2,1.2,3.0,1.4,33.0,36.0,36.5,10.95,2.78,3.26,107.5,0.543,0.292,0.253,0.384,0.748,0.58,0.612,23.5,0.29,0.78,26.1,131.5,104.2,7.6,2.0,9.6,0.159,0.058,0.217,0.339,,7.2,13.2,1.0,3.3,3.8,5.1,0,0,1,1,0,0,0,0
Nique Clifford,2025,24,23.36,78.5,202,80.0,19.2,9.8,4.5,1.2,0.6,2.5,2.6,36.0,36.0,35.5,10.87,2.96,3.07,102.5,0.496,0.377,0.365,0.373,0.777,0.565,0.603,27.7,0.97,1.72,25.1,119.2,96.1,7.2,3.8,11.1,0.129,0.091,0.22,0.361,,6.7,13.6,1.9,4.9,3.9,5.1,1,0,0,0,0,0,1,0
Jase Richardson,2025,25,19.68,73.75,178,78.0,17.3,4.7,2.7,1.2,0.4,2.2,1.2,36.0,36.0,38.0,10.97,3.08,3.22,98.5,0.493,0.412,0.39,0.418,0.836,0.574,0.624,20.6,0.7,2.27,20.7,132.0,100.3,6.5,5.1,11.6,0.136,0.075,0.211,0.37,,5.7,11.5,1.9,4.5,4.0,4.8,0,0,1,1,0,0,0,0
Ben Saraf,2025,26,19.18,77.0,200,,18.5,4.3,6.3,1.7,0.4,3.4,4.1,60.0,36.0,,,,,,0.444,0.29,0.228,0.315,0.749,0.477,0.517,27.6,1.16,1.52,15.5,104.3,107.7,,,,,,,0.34,,6.9,15.6,1.0,3.5,3.7,4.9,0,1,0,0,0,0,0,1
Danny Wolf,2025,27,21.13,83.75,252,86.25,15.6,11.5,4.2,0.8,1.6,2.4,3.8,37.0,36.0,30.0,11.26,2.91,3.51,109.0,0.497,0.336,0.302,0.356,0.594,0.548,0.559,24.2,0.94,1.1,19.4,105.7,96.1,4.3,5.2,9.5,0.053,0.089,0.145,0.324,,5.9,11.9,1.2,3.6,2.5,4.2,0,0,1,0,0,1,0,0
Hugo González,2025,28,19.37,78.0,207,,11.4,5.9,1.9,1.0,1.0,6.1,2.0,69.0,36.0,,,,,,0.408,0.284,0.449,0.337,0.758,0.472,0.517,17.0,0.49,0.95,9.8,104.6,108.2,,,,,,,0.345,,3.9,9.5,1.2,4.3,2.4,3.2,0,1,0,0,0,0,0,1
Liam McNeeley,2025,29,19.69,80.0,215,80.5,16.3,6.7,2.5,0.6,0.2,2.2,2.1,27.0,36.0,36.5,11.11,2.75,3.16,99.5,0.381,0.317,0.468,0.41,0.866,0.455,0.529,25.6,0.51,1.22,16.1,112.5,107.1,2.6,0.8,3.4,0.083,0.051,0.134,0.373,,4.9,12.9,1.9,6.0,4.6,5.3,1,0,0,1,0,0,0,0
Yanic Konan Niederhauser,2025,30,22.27,84.5,243,87.25,18.5,9.1,1.1,0.9,3.3,3.6,2.4,29.0,36.0,37.0,11.45,2.84,3.2,111.0,0.611,0.091,0.047,0.56,0.664,0.613,0.631,23.5,0.26,0.46,24.3,118.9,100.2,2.9,3.1,6.1,0.104,0.077,0.181,0.313,,7.1,11.6,0.0,0.5,4.3,6.5,0,0,1,0,0,1,0,0
Rasheer Fleming,2025,31,20.95,81.5,232,89.25,16.9,9.8,1.4,1.6,1.8,2.9,1.8,35.0,36.0,32.5,10.95,2.72,3.24,109.0,0.531,0.39,0.449,0.285,0.743,0.619,0.638,21.2,0.4,0.81,24.1,123.9,95.0,4.5,3.1,7.7,0.11,0.095,0.205,0.36,,6.2,11.6,2.0,5.2,2.5,3.3,1,0,0,0,0,1,0,0
Noah Penda,2025,32,20.45,79.0,225,,13.5,7.3,3.5,1.6,1.2,2.7,2.2,37.0,36.0,,,,,,0.447,0.322,0.395,0.423,0.667,0.51,0.542,18.4,0.83,1.62,16.2,115.9,110.0,,,,,,,0.335,,4.6,10.4,1.3,4.1,2.9,4.4,0,1,0,0,0,0,0,1
Sion James,2025,33,22.54,77.75,218,78.5,12.1,5.9,4.2,1.2,0.4,2.9,1.7,39.0,36.0,39.5,10.91,2.93,2.97,100.0,0.516,0.413,0.346,0.461,0.81,0.588,0.635,16.2,1.17,2.45,17.9,131.1,96.8,4.3,4.9,9.3,0.116,0.088,0.205,0.355,,4.0,7.8,1.1,2.7,2.9,3.6,0,0,1,0,0,0,1,0
Ryan Kalkbrenner,2025,34,23.42,86.25,257,90.0,20.1,9.0,1.6,0.6,2.8,1.5,1.5,35.0,36.0,33.0,12.05,3.1,3.34,112.0,0.653,0.344,0.147,0.386,0.681,0.678,0.684,23.6,0.42,1.06,29.1,132.7,99.4,7.7,4.4,12.2,0.159,0.08,0.235,0.326,,8.1,12.4,0.6,1.8,3.3,4.8,0,0,1,0,0,0,1,0
Johni Broome,2025,35,22.92,82.5,249,84.25,22.1,12.9,3.4,1.1,2.5,2.5,1.9,36.0,36.0,28.0,11.52,3.23,3.37,108.5,0.51,0.278,0.174,0.39,0.587,0.534,0.547,30.4,0.64,1.82,30.9,121.7,94.8,9.6,4.7,14.3,0.154,0.096,0.25,0.315,,8.7,17.1,0.8,3.0,3.9,6.7,0,0,1,0,0,0,1,0
Adou Thiero,2025,36,21.12,79.5,218,84.0,19.7,7.6,2.5,2.1,1.0,3.3,2.2,27.0,36.0,,,,,104.5,0.545,0.256,0.17,0.692,0.686,0.567,0.605,25.8,0.54,1.11,25.1,120.6,99.2,5.9,4.7,10.6,0.124,0.081,0.205,0.322,,6.7,12.3,0.5,2.1,5.8,8.5,0,0,1,0,0,1,0,0
Chaz Lanier,2025,37,23.5,77.0,206,81.0,20.7,4.5,1.2,1.0,0.2,1.8,1.3,38.0,36.0,39.0,10.53,2.96,3.12,101.5,0.431,0.395,0.551,0.176,0.758,0.54,0.56,28.8,0.27,0.95,19.5,117.2,102.4,6.1,2.7,8.9,0.107,0.067,0.174,0.389,,7.3,17.0,3.7,9.4,2.3,3.0,0,0,1,0,0,0,1,0
Kam Jones,2025,38,23.32,76.5,202,78.0,20.5,4.8,6.3,1.5,0.3,2.3,2.0,34.0,36.0,31.5,11.42,3.11,3.27,100.5,0.483,0.311,0.374,0.16,0.648,0.541,0.551,28.9,1.32,3.17,24.5,119.4,103.0,7.3,3.3,10.6,0.136,0.066,0.202,0.345,,8.3,17.3,2.0,6.5,1.8,2.8,0,0,1,0,0,0,1,0
Alijah Martin,2025,39,23.48,74.75,208,79.5,17.0,5.3,2.6,1.7,0.2,1.7,1.7,38.0,36.0,38.0,11.06,3.05,3.11,99.5,0.452,0.35,0.541,0.28,0.761,0.547,0.576,21.7,0.57,1.49,19.4,123.8,101.2,5.8,3.9,9.8,0.114,0.073,0.184,0.368,,5.9,13.0,2.5,7.0,2.8,3.6,0,0,1,0,0,0,1,0
Micah Peavy,2025,40,23.93,79.5,212,79.25,16.7,5.6,3.5,2.3,0.5,2.9,2.5,32.0,36.0,35.5,10.9,3.06,3.13,101.0,0.481,0.4,0.286,0.2,0.659,0.538,0.552,24.7,0.81,1.37,19.7,109.8,101.1,3.1,3.2,6.3,0.071,0.071,0.142,0.342,,6.7,13.8,1.6,4.0,1.8,2.8,0,0,1,0,0,0,1,0
Koby Brea,2025,41,22.62,79.0,202,77.25,14.9,4.1,1.7,0.6,0.4,1.7,0.6,36.0,36.0,34.0,11.4,3.23,3.31,101.5,0.47,0.435,0.684,0.112,0.914,0.618,0.636,16.7,0.48,2.82,16.1,130.1,112.4,5.8,1.3,7.1,0.099,0.032,0.131,0.405,,5.2,11.2,3.3,7.6,1.1,1.2,0,0,1,0,0,0,1,0
Maxime Raynaud,2025,42,22.2,85.5,237,85.25,21.7,11.4,1.8,0.9,1.5,2.2,2.6,35.0,36.0,31.5,11.31,3.16,3.23,110.0,0.467,0.347,0.343,0.263,0.77,0.527,0.558,31.5,0.38,0.69,25.6,112.2,101.9,6.2,0.8,7.0,0.102,0.068,0.171,0.363,,8.1,17.3,2.1,5.9,3.5,4.5,0,0,1,0,0,0,1,0
Jamir Watkins,2025,43,23.96,78.25,215,83.25,21.5,6.6,2.8,1.4,0.6,3.7,3.1,32.0,36.0,37.0,11.19,3.21,3.14,102.5,0.427,0.321,0.398,0.59,0.747,0.49,0.555,31.1,0.52,0.88,20.4,109.3,103.5,4.0,1.6,5.6,0.085,0.065,0.149,0.357,,6.4,15.1,1.9,6.0,6.7,8.9,0,0,1,0,0,0,1,0
Brooks Barnhizer,2025,44,23.3,78.0,215,,16.7,8.6,4.1,2.2,1.1,1.7,2.7,17.0,36.0,,,,,,0.414,0.266,0.257,0.357,0.764,0.448,0.5,28.1,0.85,1.53,21.6,103.8,96.2,4.8,4.9,9.7,0.051,0.089,0.14,0.341,,5.9,14.3,1.0,3.7,3.9,5.1,0,0,1,0,0,0,1,0
Rocco Zikarsky,2025,45,18.95,88.25,257,88.75,13.8,10.4,0.9,0.9,2.1,3.9,1.8,20.0,36.0,31.5,11.92,3.0,3.48,114.5,0.5,0.2,0.069,0.444,0.625,0.507,0.533,17.1,0.2,0.5,16.0,114.7,114.7,,,,,,,0.309,,5.3,10.7,0.1,0.7,3.0,4.7,0,1,0,0,0,0,0,1
Amari Williams,2025,46,23.39,84.0,262,,17.2,13.4,5.0,0.9,1.9,3.5,3.6,36.0,36.0,,,,,,0.561,0.25,0.016,0.744,0.623,0.563,0.587,24.6,1.0,1.4,24.1,114.9,101.5,5.2,4.7,9.9,0.102,0.068,0.171,0.307,,6.1,10.8,0.0,0.2,5.0,8.0,0,0,1,0,0,0,1,0
Bogoljub Marković,2025,47,19.94,83.0,190,,17.2,8.5,3.2,1.0,1.1,4.0,3.3,32.0,36.0,,,,,,0.546,0.388,0.301,0.482,0.765,0.605,0.642,21.8,0.73,0.95,18.1,114.6,107.0,,,,,,,0.35,,5.9,10.9,1.3,3.3,4.0,5.2,0,1,0,0,0,0,0,1
Javon Small,2025,48,22.5,74.25,190,76.75,18.5,4.1,5.6,1.5,0.3,1.5,2.7,32.0,36.0,40.5,10.74,2.87,3.07,96.0,0.418,0.353,0.537,0.379,0.88,0.513,0.576,28.2,1.24,2.07,22.3,115.4,100.4,7.0,3.6,10.6,0.114,0.076,0.187,0.387,,5.7,13.6,2.6,7.3,4.5,5.2,0,0,1,0,0,0,1,0
Tyrese Proctor,2025,49,21.22,77.5,183,79.25,14.9,3.6,2.7,0.9,0.1,2.3,1.3,38.0,36.0,36.5,10.75,3.0,3.19,100.5,0.452,0.405,0.603,0.205,0.68,0.574,0.587,20.1,0.64,2.12,16.1,123.1,100.6,4.4,3.1,7.4,0.102,0.074,0.176,0.364,,5.2,11.6,2.8,7.0,1.6,2.4,0,0,1,0,0,1,0,0
Kobe Sanders,2025,50,23.06,80.25,203,80.25,18.0,4.4,5.1,1.3,0.3,2.5,2.1,33.0,36.0,36.0,10.95,3.0,3.19,103.0,0.46,0.342,0.319,0.455,0.795,0.515,0.572,27.1,1.1,2.41,22.0,118.8,106.5,5.6,1.5,7.0,0.122,0.054,0.176,0.355,,6.0,13.0,1.4,4.1,4.7,5.9,1,0,0,0,0,0,1,0
Mohamed Diawara,2025,51,20.14,80.0,200,,11.3,5.8,2.4,1.2,0.2,3.8,1.6,49.0,36.0,,,,,,0.439,0.282,0.42,0.267,0.557,0.498,0.508,16.1,0.63,1.52,10.4,106.9,107.7,,,,,,,0.317,,4.3,9.8,1.2,4.1,1.5,2.6,0,1,0,0,0,0,0,1
Alex Toohey,2025,52,21.13,81.0,223,82.75,17.4,5.8,2.1,2.2,1.2,2.6,1.7,32.0,36.0,31.5,11.38,2.9,3.2,104.5,0.465,0.34,0.342,0.375,0.738,0.524,0.562,20.4,0.46,1.23,17.7,114.9,109.2,,,,,,,0.349,,6.1,13.2,1.5,4.5,3.6,4.9,0,1,0,0,0,0,0,1
John Tonje,2025,53,24.16,78.0,212,81.0,22.6,6.1,2.1,0.8,0.3,2.0,2.1,37.0,36.0,37.0,11.14,3.21,3.2,102.5,0.465,0.388,0.499,0.579,0.909,0.562,0.647,28.0,0.42,0.99,24.8,128.2,105.2,8.6,2.4,11.0,0.163,0.056,0.222,0.392,,6.4,13.7,2.7,6.8,7.2,7.9,0,0,1,0,0,0,1,0
Taelon Peter,2025,54,23.31,76.0,210,,21.7,6.4,1.6,1.5,0.2,3.2,1.0,35.0,36.0,,,,,,0.578,0.453,0.588,0.304,0.773,0.711,0.724,24.1,0.4,1.71,27.2,136.6,93.6,6.8,2.2,9.0,0.166,0.101,0.267,0.389,,7.6,13.1,3.5,7.7,3.1,4.0,1,0,0,0,0,0,1,0
Lachlan Olbrich,2025,55,21.47,82.0,230,83.25,19.1,8.2,3.7,1.0,1.0,5.0,2.1,40.0,36.0,31.0,11.9,3.0,3.45,107.5,0.619,0.2,0.063,0.452,0.546,0.626,0.617,19.9,0.73,1.75,20.2,125.5,112.5,,,,,,,0.299,,7.9,12.8,0.2,0.8,3.2,5.8,0,1,0,0,0,0,0,1
Will Richard,2025,56,22.49,76.0,206,,15.1,5.2,2.1,1.9,0.4,2.6,1.8,40.0,36.0,,,,,,0.487,0.359,0.587,0.253,0.844,0.592,0.624,18.3,0.54,1.19,18.3,126.8,100.3,4.9,4.7,9.6,0.104,0.076,0.18,0.377,,5.3,10.8,2.3,6.3,2.3,2.7,0,0,1,0,0,0,1,0
Max Shulga,2025,57,22.99,77.5,206,77.75,16.5,6.4,4.4,1.9,0.1,2.2,1.9,35.0,36.0,34.5,11.35,3.06,3.21,99.0,0.435,0.387,0.528,0.537,0.783,0.537,0.595,21.9,1.05,2.36,23.2,130.4,94.8,5.8,3.6,9.4,0.15,0.094,0.244,0.369,,4.8,11.0,2.3,5.8,4.6,5.9,1,0,0,0,0,0,1,0
Saliou Niang,2025,58,21.1,77.0,190,,14.2,9.3,2.7,1.3,0.3,4.5,3.6,54.0,36.0,,,,,,0.513,0.314,0.114,0.484,0.696,0.531,0.569,20.3,0.59,0.74,13.9,104.8,107.3,,,,,,,0.323,,5.2,10.2,0.4,1.2,3.4,4.9,0,1,0,0,0,0,0,1
Jahmai Mashack,2025,59,22.61,76.0,202,,7.7,5.4,1.9,2.2,0.7,2.9,1.2,38.0,36.0,,,,,,0.454,0.351,0.35,0.509,0.723,0.515,0.563,11.6,0.81,1.63,13.8,120.0,97.3,1.2,7.0,8.2,0.056,0.086,0.142,0.333,,2.5,5.5,0.7,1.9,2.0,2.8,0,0,1,0,0,0,1,0
Eric Dixon,2025,61,24.4,80.75,259,83.5,24.1,5.3,2.0,0.9,0.3,2.1,2.2,35.0,36.0,32.5,11.56,3.09,3.41,104.0,0.451,0.407,0.424,0.358,0.813,0.537,0.583,34.7,0.38,0.89,25.7,119.5,109.9,8.3,0.1,8.5,0.154,0.039,0.194,0.386,,8.0,17.6,3.0,7.5,5.1,6.3,0,0,1,0,0,0,1,0
Viktor Lakhin,2025,61,23.89,83.0,245,,17.4,9.7,2.3,1.6,2.2,4.3,2.3,34.0,36.0,,,,,,0.507,0.375,0.216,0.311,0.696,0.547,0.571,25.7,0.52,1.0,25.1,117.1,93.4,4.4,4.4,8.8,0.11,0.1,0.209,0.337,,6.7,13.3,1.1,2.9,2.9,4.1,0,0,1,0,0,0,1,0
Caleb Love,2025,61,23.73,76.0,195,,18.2,4.7,3.6,1.2,0.3,1.3,2.1,37.0,36.0,,,,,,0.398,0.34,0.535,0.234,0.889,0.489,0.534,25.8,0.71,1.76,17.7,114.4,107.3,5.3,2.1,7.5,0.089,0.051,0.14,0.391,,6.1,15.4,2.8,8.2,3.2,3.6,0,0,1,0,0,0,1,0
RJ Luis Jr.,2025,61,22.56,79.0,210,82.5,20.6,8.1,2.3,1.6,0.6,2.5,2.5,35.0,36.0,38.0,11.24,2.98,3.13,103.5,0.439,0.336,0.262,0.341,0.747,0.483,0.525,28.9,0.43,0.93,21.3,111.4,92.8,4.7,4.0,8.6,0.09,0.101,0.19,0.35,,7.4,16.9,1.5,4.4,4.3,5.8,1,0,0,0,0,1,0,0
Grant Nelson,2025,61,23.26,83.25,230,84.0,16.3,10.7,2.3,0.7,1.7,3.8,2.6,37.0,36.0,30.0,10.51,2.58,3.23,109.0,0.522,0.258,0.315,0.468,0.667,0.563,0.588,20.7,0.5,0.88,18.5,115.3,104.3,3.5,3.9,7.4,0.081,0.06,0.141,0.326,,5.9,11.3,0.9,3.6,3.5,5.3,0,0,1,0,0,0,1,0
Izan Almansa,2025,61,20.04,82.5,220,85.75,16.0,9.0,1.7,0.9,0.7,3.7,1.2,36.0,36.0,34.0,11.46,2.93,3.33,109.5,0.52,0.304,0.114,0.347,0.586,0.537,0.548,18.1,0.39,1.4,16.1,119.4,116.6,,,,,,,0.308,,6.5,12.6,0.4,1.4,2.5,4.4,0,1,0,0,0,0,0,1
Chucky Hepburn,2025,61,22.36,74.0,190,,16.9,3.6,6.0,2.5,0.1,2.8,3.1,34.0,36.0,,,,,,0.432,0.328,0.5,0.5,0.844,0.514,0.586,24.4,1.28,1.92,20.9,118.2,99.5,4.5,4.8,9.3,0.111,0.078,0.193,0.37,,5.0,11.7,1.9,5.8,4.9,5.8,0,0,1,0,0,0,1,0
Dink Pate,2025,61,19.28,79.5,201,81.75,13.5,6.9,2.5,0.8,0.1,2.7,2.3,34.0,36.0,32.5,10.63,2.97,3.29,104.0,0.407,0.258,0.361,0.13,0.581,0.453,0.485,20.4,0.52,1.09,8.1,,,,,,-0.083,0.048,-0.031,0.32,,5.3,13.1,1.2,4.7,1.0,1.7,0,1,0,0,0,0,0,1
Wooga Poplar,2025,61,22.45,77.0,197,,17.2,7.9,1.7,1.4,0.3,2.5,2.0,36.0,36.0,,,,,,0.46,0.387,0.434,0.266,0.856,0.544,0.584,25.4,0.38,0.82,20.8,115.3,103.3,4.2,2.1,6.3,0.094,0.063,0.157,0.378,,6.0,13.1,2.2,5.7,3.0,3.5,0,0,1,0,0,0,1,0
